EAN CODES,HSN CODES,TAX %,Product Name,Brand Name (Mandatory),MRP
8809598450547,33049990,18%,COSRX AC Collection Calming Foam Cleanser 150 ml,COSRX,1150
8809598450158,33049990,18%,COSRX AC Collection Calming Liquid Intensive 125 ml,COSRX,1890
8809598450141,33049990,18%,COSRX AC Collection Calming Liquid Mild 125 ml,COSRX,1890
8809598450165,33049990,18%,COSRX AC Collection Ultimate Spot Cream 30 gm,COSRX,1690
8809416470016,33049990,18%,COSRX Advanced Snail 92 All In One Cream 100 ml,COSRX,1650
8809416470009,33049990,18%,COSRX Advanced Snail 96 Mucin Power Essence 100 ml,COSRX,1450
8809598453180,33049990,18%,COSRX Advanced Snail 96 Mucin Power Essence 30 ml,COSRX,350
8809416470047,33049990,18%,COSRX AHA 7 Whitehead Power Liquid 100 ml,COSRX,1350
8809416470030,33049990,18%,COSRX AHA/BHA Clarifying Treatment Toner 150 ml,COSRX,1090
8809598454545,33049990,18%,Cosrx AHA/BHA Clarifying Treatment Toner 50ml,COSRX,450
8809598450868,33049990,18%,Cosrx AHA/BHA Clarifying Treatment Toner 30ml,COSRX,300
8809598451445,33049990,18%,COSRX Balancium Comfort Ceramide Cream 80 gm,COSRX,1950
8809416470054,33049990,18%,COSRX BHA Blackhead Power Liquid 100 ml,COSRX,1590
8809598454538,33049990,18%,Cosrx BHA Blackhead Power Liquid 50ml,COSRX,850
8809416470368,33049990,18%,COSRX Centella Blemish Cream 30 ml,COSRX,1550
8809416471310,33049990,18%,COSRX Galactomyces 95 Tone Balancing Essence 100 ml,COSRX,1590
8809115025012,33049990,18%,Klairs Supple Preparation Facial Toner 180ml,dear Klairs,1430
8809115023636 ,33049990,18%,Klairs Supple Preparation Facial Toner Mini 30ml,dear Klairs,350
8809115025258,33049990,18%,Klairs Rich Moist Soothing Serum 80ml,dear Klairs,1570
8809572891113 ,33049990,18%,Klairs Rich Moist Soothing Cream 80ml,dear Klairs,1850
8809572890895 ,33049990,18%,Klairs Rich Moist Soothing Cream Mini 20ml,dear Klairs,590
8809115020109 ,33049990,18%,Klairs Illuminating Supple Blemish Cream 40ml,dear Klairs,1710
8809572890338 ,33049990,18%,Klairs Gentle Black Sugar Facial Polish 110g,dear Klairs,1570
8809115025937 ,33049990,18%,Klairs Gentle Black Deep Cleansing Oil 150ml,dear Klairs,1570
8809115025050 ,33049990,18%,Klairs Freshly Juiced Vitamin Drop 35ml,dear Klairs,1570
8809115027092 ,33049990,18%,Klairs Midnight Blue Calming Cream 30ml,dear Klairs,1670
8809572890291 ,33049990,18%,Klairs Midnight Blue Calming Cream 60ml,dear Klairs,2100
8809572890239 ,33079090,18%,Klairs Rich Moist Soothing Tencel Sheet Mask (1pcs),dear Klairs,200
8809572890222 ,33079090,18%,Klairs Midnight Blue Calming Sheet Mask (1pcs),dear Klairs,200
8809115029119 ,33049990,18%,Klairs Supple Preparation Unscented Toner 180 ml,dear Klairs,1430
8809115023551 ,33049990,18%,Klairs Supple Preparation All Over Lotion 250 ml,dear Klairs,1810
8809623940012 ,33049990,18%,Beplain BHA Peeling Ampoule (30ml),Beplain,1850
8809623940043,33049990,18%,Beplain Chamomile pH-Balanced Toner (190ml),Beplain,1650
8809623940050,33049990,18%,Beplain Greenful pH-Balanced Cleansing Foam (80ml),Beplain,1050
8809623940920,33049990,18%,Beplain Multi Vitamin Ampoule (30ml),Beplain,1750
8809623940142,33049990,18%,Beplain Cicaful Ampoule II (30ml),Beplain,1600
8809623940173,33049990,18%,Beplain Chamomile pH-Balanced Lotion (150ml),Beplain,1650
8809623940241,33049990,18%,Beplain Cicaful Calming Gel (80ml),Beplain,1300
8809623940449,33049990,18%,Beplain Greenful Balancing Toner (200ml),Beplain,1350
8809623940258,33049990,18%,Beplain Clean Ocean Nonnano Mild Sunscreen (50ml),Beplain,1750
8809458 848972,33049990,18%,SNP Mini Moisture Petal Toner 25 ml,SNP mini,250
8809458 848989,33049990,18%,SNP Mini Royal Honey Essence 25 ml,SNP mini,250
8809458 849009,33049990,18%,SNP Mini Shea Butter Moisture Serum 25 ml,SNP mini,250
8809458 849016,33049990,18%,SNP Mini Eye & Facial Nourishing Cream 25 ml,SNP mini,250
8809458 848996,33049990,18%,SNP Mini Water Drop Tone Up Cream 25 ml,SNP mini,250
8809458 849320,33049990,18%,SNP Mini Charcoal Cleansing Foam 25 ml,SNP mini,250
